Date	Price	Open	High	Low	Vol.	Change %
Sep 20, 2023	360.50	363.50	366.00	359.50	2.52M	0.00%
Sep 19, 2023	360.50	365.00	368.00	359.50	2.99M	+0.28%
Sep 18, 2023	359.50	364.00	364.00	357.00	4.49M	-1.91%
Sep 15, 2023	366.50	375.00	377.00	366.00	6.55M	-1.87%
Sep 14, 2023	373.50	373.00	379.00	372.00	3.30M	+1.08%
Sep 13, 2023	369.50	360.00	371.00	360.00	5.54M	+1.65%
Sep 12, 2023	363.50	373.50	377.50	360.50	12.87M	-4.34%
Sep 11, 2023	380.00	404.00	404.00	371.50	9.78M	-5.82%
Sep 08, 2023	403.50	400.00	404.50	397.00	2.88M	+0.62%
Sep 07, 2023	401.00	403.50	403.50	398.00	2.96M	-0.62%
Sep 06, 2023	403.50	397.00	407.50	395.00	5.45M	+2.41%
Sep 05, 2023	394.00	398.00	400.00	382.00	6.34M	-1.50%
Sep 04, 2023	400.00	402.00	403.50	395.00	3.93M	0.00%
Sep 01, 2023	400.00	408.00	409.00	399.00	5.26M	-0.62%
Aug 31, 2023	402.50	398.50	403.00	396.00	8.58M	-0.12%
Aug 30, 2023	403.00	414.00	416.50	401.50	6.47M	-0.49%
Aug 29, 2023	405.00	410.00	413.00	400.00	5.90M	0.00%
Aug 28, 2023	405.00	414.00	415.50	394.00	10.16M	-1.94%
Aug 25, 2023	413.00	415.50	426.00	406.00	13.04M	-3.50%
Aug 24, 2023	428.00	432.00	438.00	414.50	22.54M	+3.26%
Aug 23, 2023	414.50	397.50	418.00	392.50	21.18M	+4.94%
Aug 22, 2023	395.00	391.00	397.00	385.50	12.98M	+2.33%
Aug 21, 2023	386.00	382.50	391.00	382.00	7.44M	+0.52%
Aug 18, 2023	384.00	399.00	399.00	379.00	10.16M	-2.41%
Aug 17, 2023	393.50	386.00	393.50	382.50	10.54M	+1.03%
Aug 16, 2023	389.50	379.50	389.50	377.00	11.35M	+1.17%
Aug 15, 2023	385.00	380.00	390.00	380.00	15.38M	+3.77%
Aug 14, 2023	371.00	363.00	380.00	362.50	15.41M	+0.82%
Aug 11, 2023	368.00	371.50	376.00	363.00	6.15M	-0.14%
Aug 10, 2023	368.50	370.00	373.00	352.50	11.47M	-2.77%
Aug 09, 2023	379.00	389.50	389.50	372.00	19.00M	+0.80%
Aug 08, 2023	376.00	370.50	376.00	360.50	5.67M	+1.48%
Aug 07, 2023	370.50	361.50	376.00	357.50	6.86M	+2.35%
Aug 04, 2023	362.00	361.50	365.00	352.00	5.88M	+0.14%
Aug 02, 2023	361.50	369.50	374.00	358.00	9.34M	-2.82%
Aug 01, 2023	372.00	376.50	380.00	358.50	14.30M	+2.20%
Jul 31, 2023	364.00	399.00	399.00	352.00	24.98M	-6.19%
Jul 28, 2023	388.00	366.50	388.00	360.00	27.12M	+8.99%
Jul 27, 2023	356.00	375.00	375.00	353.50	10.31M	-3.00%
Jul 26, 2023	367.00	377.00	382.50	363.50	13.99M	-0.14%
Jul 25, 2023	367.50	388.00	399.00	362.00	37.49M	+0.41%
